cid,mw_pc,smiles,connectivitysmiles,iupac,logp_pc
61585,244.37,CC(=O)C1=C2CCC(C2=CC(=C1)C(C)(C)C)(C)C,CC(=O)C1=C2CCC(C2=CC(=C1)C(C)(C)C)(C)C,"1-(6-tert-butyl-1,1-dimethyl-2,3-dihydroinden-4-yl)ethanone",5.0
61814,134.17,CC1=CC(=C(C=C1)C=O)C,CC1=CC(=C(C=C1)C=O)C,"2,4-dimethylbenzaldehyde",2.5
61917,114.19,CCC(C)C(C)C=O,CCC(C)C(C)C=O,"2,3-dimethylpentanal",2.1
62258,149.19,C[C@@H](C(=O)C1=CC=CC=C1)N,CC(C(=O)C1=CC=CC=C1)N,(2S)-2-amino-1-phenylpropan-1-one,1.1
62539,114.14,CCC(=O)C(=O)CC,CCC(=O)C(=O)CC,"hexane-3,4-dione",0.5
62553,178.23,CC(C)OC(=O)CC1=CC=CC=C1,CC(C)OC(=O)CC1=CC=CC=C1,propan-2-yl 2-phenylacetate,2.6
62578,220.31,CC(C)CC(=O)OCCCC1=CC=CC=C1,CC(C)CC(=O)OCCCC1=CC=CC=C1,3-phenylpropyl 3-methylbutanoate,3.8
65057,206.24,C1=CC=C(C=C1)C2=C(C2=O)C3=CC=CC=C3,C1=CC=C(C=C1)C2=C(C2=O)C3=CC=CC=C3,"2,3-diphenylcycloprop-2-en-1-one",3.3
65564,98.02,C(=O)C(F)(F)F,C(=O)C(F)(F)F,"2,2,2-trifluoroacetaldehyde",0.8
66093,162.23,CCCCC(=O)C1=CC=CC=C1,CCCCC(=O)C1=CC=CC=C1,1-phenylpentan-1-one,3.0
67704,104.12,C(CCF)CC=O,C(CCF)CC=O,5-fluoropentanal,0.7
67759,189.13,C1=CC=C(C(=C1)C(=O)N)C(F)(F)F,C1=CC=C(C(=C1)C(=O)N)C(F)(F)F,2-(trifluoromethyl)benzamide,0.7
68035,90.10,CCCC(=O)F,CCCC(=O)F,butanoyl fluoride,1.1
68043,90.10,C(CC=O)CF,C(CC=O)CF,4-fluorobutanal,0.4
68303,233.49,C1=CC(=CC=C1C(=O)CBr)Cl,C1=CC(=CC=C1C(=O)CBr)Cl,2-bromo-1-(4-chlorophenyl)ethanone,3.1
68942,240.23,C1=CC=C2C(=C1)C(=O)C(C2=O)C3=CC=C(C=C3)F,C1=CC=C2C(=C1)C(=O)C(C2=O)C3=CC=C(C=C3)F,"2-(4-fluorophenyl)indene-1,3-dione",3.0
69491,142.20,C(CCCC=O)CCC=O,C(CCCC=O)CCC=O,octanedial,0.9
70620,114.14,C(CCC=O)CC=O,C(CCC=O)CC=O,hexanedial,-0.2
71872,177.24,CC(C(=O)C1=CC=CC=C1)N(C)C,CC(C(=O)C1=CC=CC=C1)N(C)C,2-(dimethylamino)-1-phenylpropan-1-one,2.1
72909,173.17,C1=CC=C2C(=C1)C(=O)C=C(C2=O)N,C1=CC=C2C(=C1)C(=O)C=C(C2=O)N,"2-aminonaphthalene-1,4-dione",1.8
73766,62.04,C(C=O)F,C(C=O)F,2-fluoroacetaldehyde,0.1
73943,154.09,CC(=O)CC(=O)C(F)(F)F,CC(=O)CC(=O)C(F)(F)F,"1,1,1-trifluoropentane-2,4-dione",0.9
74945,150.96,C(=O)C(C=O)Br,C(=O)C(C=O)Br,2-bromopropanedial,0.2
75049,74.08,C(CO)C=O,C(CO)C=O,3-hydroxypropanal,-1.0
76355,114.14,CCC(=O)CC(=O)C,CCC(=O)CC(=O)C,"hexane-2,4-dione",0.3
76396,183.98,CC(=O)CI,CC(=O)CI,1-iodopropan-2-one,0.6
79783,421.74,C(=O)C(I)(I)I,C(=O)C(I)(I)I,"2,2,2-triiodoacetaldehyde",1.8
80473,114.14,CC(CC=O)CC=O,CC(CC=O)CC=O,3-methylpentanedial,-0.1
81923,128.17,CCC(=O)CC(=O)CC,CCC(=O)CC(=O)CC,"heptane-3,5-dione",0.7
81964,206.28,CCCCC(=O)OCCC1=CC=CC=C1,CCCCC(=O)OCCC1=CC=CC=C1,2-phenylethyl pentanoate,3.7
83671,128.17,CCCC(=O)C(=O)CC,CCCC(=O)C(=O)CC,"heptane-3,4-dione",0.9
83779,116.11,COC(=O)CCC=O,COC(=O)CCC=O,methyl 4-oxobutanoate,-0.5
84292,114.19,CCCC(C)(C)C=O,CCCC(C)(C)C=O,"2,2-dimethylpentanal",2.0
84325,142.07,C(=O)C(=O)C(=O)C(=O)C=O,C(=O)C(=O)C(=O)C(=O)C=O,"2,3,4-trioxopentanedial",-0.7
86855,114.19,CC(C)C(C)CC=O,CC(C)C(C)CC=O,"3,4-dimethylpentanal",1.8
87439,157.12,C1=CC(=C(C(=C1)F)C(=O)N)F,C1=CC(=C(C(=C1)F)C(=O)N)F,"2,6-difluorobenzamide",0.3
89440,258.4,CC1CC(C2=C(C1(C)C)C=C(C(=C2)C(=O)C)C)(C)C,CC1CC(C2=C(C1(C)C)C=C(C(=C2)C(=O)C)C)(C)C,"1-(3,5,5,6,8,8-hexamethyl-6,7-dihydronaphthalen-2-yl)ethanone",5.3
90727,114.19,CCCC(CC)C=O,CCCC(CC)C=O,2-ethylpentanal,2.0
91427,114.14,CCC(CC=O)C=O,CCC(CC=O)C=O,2-ethylbutanedial,0.0
91442,241.76,CCN(CC)C(C)C(=O)C1=CC=CC=C1.Cl,CCN(CC)C(C)C(=O)C1=CC=CC=C1.Cl,2-(diethylamino)-1-phenylpropan-1-one;hydrochloride,
91563,74.08,COCC=O,COCC=O,2-methoxyacetaldehyde,-0.4
92965,281.82,CC1=CC=C(C=C1)C(=O)C(C)CN2CCCCC2.Cl,CC1=CC=C(C=C1)C(=O)C(C)CN2CCCCC2.Cl,2-methyl-1-(4-methylphenyl)-3-piperidin-1-ylpropan-1-one;hydrochloride,
93093,88.11,C(CC=O)CO,C(CC=O)CO,4-hydroxybutanal,-0.7
94310,234.33,CCCCC(CC)COC(=O)C1=CC=CC=C1,CCCCC(CC)COC(=O)C1=CC=CC=C1,2-ethylhexyl benzoate,4.5
95594,162.23,CC1=CC=C(C=C1)CC(C)C=O,CC1=CC=C(C=C1)CC(C)C=O,2-methyl-3-(4-methylphenyl)propanal,2.6
96430,368.02,C1=CC(=CC=C1C(=O)C(=O)C2=CC=C(C=C2)Br)Br,C1=CC(=CC=C1C(=O)C(=O)C2=CC=C(C=C2)Br)Br,"1,2-bis(4-bromophenyl)ethane-1,2-dione",4.8
98040,102.13,CC(CC=O)OC,CC(CC=O)OC,3-methoxybutanal,-0.1
98735,86.09,CC(C=O)C=O,CC(C=O)C=O,2-methylpropanedial,-0.1
101171,114.14,CC(CCC=O)C=O,CC(CCC=O)C=O,2-methylpentanedial,0.0
102515,114.19,CCCCC(C)C=O,CCCCC(C)C=O,2-methylhexanal,2.2
104428,128.17,C(CCC=O)CCC=O,C(CCC=O)CCC=O,heptanedial,0.3
104745,73.07,CCC(=O)[O-],CCC(=O)[O-],propanoate,0.9
110788,88.11,CC(C=O)OC,CC(C=O)OC,2-methoxypropanal,0.0
116156,98.10,CC(=O)CC#CO,CC(=O)CC#CO,5-hydroxypent-4-yn-2-one,0.2
123114,70.09,C1CC1C=O,C1CC1C=O,cyclopropanecarbaldehyde,0.2
123124,48.08,[2H]C(=O)C([2H])([2H])[2H],CC=O,"1,2,2,2-tetradeuterioethanone",-0.3
123208,45.06,[2H]C(=O)C,CC=O,1-deuterioethanone,-0.3
123249,100.12,CCCC(=O)C=O,CCCC(=O)C=O,2-oxopentanal,0.4
129652,158.24,CCCC(=O)C.CCC(=O)C,CCCC(=O)C.CCC(=O)C,butan-2-one;pentan-2-one,
136703,114.10,CC(=O)C(=O)C(=O)C,CC(=O)C(=O)C(=O)C,"pentane-2,3,4-trione",-0.5
136920,100.12,CC(C)(C=O)C=O,CC(C)(C=O)C=O,"2,2-dimethylpropanedial",0.3
137151,96.13,CCC#CC(=O)C,CCC#CC(=O)C,hex-3-yn-2-one,1.4
137720,88.11,COCCC=O,COCCC=O,3-methoxypropanal,-0.5
138404,56.06,C1CC1=O,C1CC1=O,cyclopropanone,-0.3
138889,102.13,CC(=O)CCOC,CC(=O)CCOC,4-methoxybutan-2-one,-0.3
138979,82.10,CC#CC(=O)C,CC#CC(=O)C,pent-3-yn-2-one,0.9
139192,96.13,CCC(=O)C#CC,CCC(=O)C#CC,hex-4-yn-3-one,1.4
139982,57.07,CC[C]=O,CC[C]=O,,0.6
140083,82.10,CCC(=O)C#C,CCC(=O)C#C,pent-1-yn-3-one,0.9
140625,47.07,[2H]C([2H])([2H])C=O,CC=O,"2,2,2-trideuterioacetaldehyde",-0.3
141261,110.15,CCCC#CC(=O)C,CCCC#CC(=O)C,hept-3-yn-2-one,1.9
141281,82.10,CC(=O)CC#C,CC(=O)CC#C,pent-4-yn-2-one,0.2
141585,198.00,CC(C(=O)C)I,CC(C(=O)C)I,3-iodobutan-2-one,1.2
141827,84.07,C1CC(=O)C1=O,C1CC(=O)C1=O,"cyclobutane-1,2-dione",-0.8
142755,114.14,CCCCC(=O)C=O,CCCCC(=O)C=O,2-oxohexanal,1.0
142966,68.07,C#CCC=O,C#CCC=O,but-3-ynal,-0.1
145744,86.09,CCC(=O)C=O,CCC(=O)C=O,2-oxobutanal,0.1
145802,98.10,C1CC1C(=O)C=O,C1CC1C(=O)C=O,2-cyclopropyl-2-oxoacetaldehyde,0.1
147646,106.51,C(=O)C(C=O)Cl,C(=O)C(C=O)Cl,2-chloropropanedial,0.1
159214,89.07,CC(=O)CO[O],CC(=O)CO[O],,-0.7
160142,282.4,CC(C)C1=CC2=C(C3=C(C=C2)C(CCC3)(C)C)C(=O)C1=O,CC(C)C1=CC2=C(C3=C(C=C2)C(CCC3)(C)C)C(=O)C1=O,"8,8-dimethyl-2-propan-2-yl-6,7-dihydro-5H-phenanthrene-3,4-dione",4.9
162218,74.08,CC=O.C=O,CC=O.C=O,acetaldehyde;formaldehyde,
164702,100.12,CC(=O)CCC=O,CC(=O)CCC=O,4-oxopentanal,-0.7
165726,102.13,CCC(=O)C.C=O,CCC(=O)C.C=O,butan-2-one;formaldehyde,
167535,99.03,[2H]C(=O)C(F)(F)F,C(=O)C(F)(F)F,"1-deuterio-2,2,2-trifluoroethanone",0.8
167604,114.14,CC(C)CC(=O)C=O,CC(C)CC(=O)C=O,4-methyl-2-oxopentanal,0.9
173004,132.17,CC(=O)C.[OH-].[OH-].[Ca+2],CC(=O)C.[OH-].[OH-].[Ca+2],calcium;propan-2-one;dihydroxide,
173588,198.00,C(CC=O)CI,C(CC=O)CI,4-iodobutanal,1.3
184830,114.14,CCC(C)C(=O)C=O,CCC(C)C(=O)C=O,3-methyl-2-oxopentanal,1.0
196091,90.05,C(C(=O)C=O)F,C(C(=O)C=O)F,3-fluoro-2-oxopropanal,0.0
219672,176.25,CC(C)CC(=O)CC1=CC=CC=C1,CC(C)CC(=O)CC1=CC=CC=C1,4-methyl-1-phenylpentan-2-one,2.7
221417,234.33,CCCCCC(=O)OCCCC1=CC=CC=C1,CCCCCC(=O)OCCCC1=CC=CC=C1,3-phenylpropyl hexanoate,4.4
221691,220.31,CCCCCCOC(=O)CC1=CC=CC=C1,CCCCCCOC(=O)CC1=CC=CC=C1,hexyl 2-phenylacetate,4.2
228987,204.31,CC(CC1=CC=C(C=C1)C(C)(C)C)C=O,CC(CC1=CC=C(C=C1)C(C)(C)C)C=O,3-(4-tert-butylphenyl)-2-methylpropanal,3.9
229888,248.36,CCCCCCCC(=O)OCCC1=CC=CC=C1,CCCCCCCC(=O)OCCC1=CC=CC=C1,2-phenylethyl octanoate,5.1
238288,126.08,CCC(=O)C(F)(F)F,CCC(=O)C(F)(F)F,"1,1,1-trifluorobutan-2-one",1.5
281254,178.23,COC(=O)CCCC1=CC=CC=C1,COC(=O)CCCC1=CC=CC=C1,methyl 4-phenylbutanoate,2.8
283637,110.15,CCC#CC(=O)CC,CCC#CC(=O)CC,hept-4-yn-3-one,1.8
349972,114.14,CC(C)(C)C(=O)C=O,CC(C)(C)C(=O)C=O,"3,3-dimethyl-2-oxobutanal",1.0
355748,226.01,CC(=O)C(C(=O)C)I,CC(=O)C(C(=O)C)I,"3-iodopentane-2,4-dione",0.6
422853,118.11,CC(=O)CC(=O)CF,CC(=O)CC(=O)CF,"1-fluoropentane-2,4-dione",0.2
428947,279.09,C(C=O)[Hg]Cl,C(C=O)[Hg]Cl,chloro(2-oxoethyl)mercury,
439231,74.08,C[C@@H](C=O)O,CC(C=O)O,(2S)-2-hydroxypropanal,-0.5
439350,74.08,C[C@H](C=O)O,CC(C=O)O,(2R)-2-hydroxypropanal,-0.5
439963,116.11,C(CC=O)CC(=O)O,C(CC=O)CC(=O)O,5-oxopentanoic acid,-0.5
444539,148.16,C1=CC=C(C=C1)/C=C/C(=O)O,C1=CC=C(C=C1)C=CC(=O)O,(E)-3-phenylprop-2-enoic acid,2.1
444718,166.17,C1=CC=C(C=C1)C[C@@H](C(=O)O)O,C1=CC=C(C=C1)CC(C(=O)O)O,(2S)-2-hydroxy-3-phenylpropanoic acid,1.1
451245,57.08,C[11C](=O)C,CC(=O)C,(211C)propan-2-one,-0.1
451253,57.08,CC(=O)[11CH3],CC(=O)C,(111C)propan-2-one,-0.1
517055,144.10,C1=CC=C(C=C1)C(=O)[O-].[Na+],C1=CC=C(C=C1)C(=O)[O-].[Na+],sodium benzoate,
517827,190.28,CC(C)C1=CC=C(C=C1)CC(C)C=O,CC(C)C1=CC=C(C=C1)CC(C)C=O,2-methyl-3-(4-propan-2-ylphenyl)propanal,3.3
522220,64.12,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],CC(=O)C,"1,1,1,3,3,3-hexadeuteriopropan-2-one",-0.1
527447,118.20,CCC(CC=O)S,CCC(CC=O)S,3-sulfanylpentanal,0.9
539001,126.08,CC(=O)CC(F)(F)F,CC(=O)CC(F)(F)F,"4,4,4-trifluorobutan-2-one",1.0
544162,212.33,C(CCCCCC=O)CCCCCC=O,C(CCCCCC=O)CCCCCC=O,tridecanedial,3.6
551778,100.07,C(=O)C(C=O)C=O,C(=O)C(C=O)C=O,methanetricarbaldehyde,-0.9
554053,130.14,COC(=O)CCCC=O,COC(=O)CCCC=O,methyl 5-oxopentanoate,0.2
555285,106.12,CCC(=O)C#CC#C,CCC(=O)C#CC#C,"hepta-4,6-diyn-3-one",1.3
556051,106.12,CC#CC(=O)C#CC,CC#CC(=O)C#CC,"hepta-2,5-diyn-4-one",1.9
561193,106.12,CC#CC#CC(=O)C,CC#CC#CC(=O)C,"hepta-3,5-diyn-2-one",1.3
637511,132.16,C1=CC=C(C=C1)/C=C/C=O,C1=CC=C(C=C1)C=CC=O,(E)-3-phenylprop-2-enal,1.9
637520,162.18,COC(=O)/C=C/C1=CC=CC=C1,COC(=O)C=CC1=CC=CC=C1,methyl (E)-3-phenylprop-2-enoate,2.6
637758,176.21,CCOC(=O)/C=C/C1=CC=CC=C1,CCOC(=O)C=CC1=CC=CC=C1,ethyl (E)-3-phenylprop-2-enoate,3.0
637759,146.19,CC(=O)/C=C/C1=CC=CC=C1,CC(=O)C=CC1=CC=CC=C1,(E)-4-phenylbut-3-en-2-one,2.1
637760,208.25,C1=CC=C(C=C1)/C=C/C(=O)C2=CC=CC=C2,C1=CC=C(C=C1)C=CC(=O)C2=CC=CC=C2,"(E)-1,3-diphenylprop-2-en-1-one",3.1
638120,90.10,C[C@H](C(=O)C)F,CC(C(=O)C)F,(3R)-3-fluorobutan-2-one,0.7
640180,234.29,C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2,C1=CC=C(C=C1)C=CC(=O)C=CC2=CC=CC=C2,"(1E,4E)-1,5-diphenylpenta-1,4-dien-3-one",4.1
641423,188.22,C=CCOC(=O)/C=C/C1=CC=CC=C1,C=CCOC(=O)C=CC1=CC=CC=C1,prop-2-enyl (E)-3-phenylprop-2-enoate,3.0
642582,144.24,CC(=O)C(=O)[Si](C)(C)C,CC(=O)C(=O)[Si](C)(C)C,"1-trimethylsilylpropane-1,2-dione",
643048,120.58,C(CCCl)CC=O,C(CCCl)CC=O,5-chloropentanal,1.0
667550,254.28,C[C@@H](C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,(2S)-2-(3-benzoylphenyl)propanoic acid,3.1
778574,204.26,CC(C)COC(=O)/C=C/C1=CC=CC=C1,CC(C)COC(=O)C=CC1=CC=CC=C1,2-methylpropyl (E)-3-phenylprop-2-enoate,4.0
1550884,216.32,CCCCCC/C(=C\C1=CC=CC=C1)/C=O,CCCCCCC(=CC1=CC=CC=C1)C=O,(2E)-2-benzylideneoctanal,4.8
1623625,202.29,CCCCC/C(=C\C1=CC=CC=C1)/C=O,CCCCCC(=CC1=CC=CC=C1)C=O,(2E)-2-benzylideneheptanal,4.2
1712058,202.29,CCCCC/C(=C/C1=CC=CC=C1)/C=O,CCCCCC(=CC1=CC=CC=C1)C=O,(2Z)-2-benzylideneheptanal,4.2
2774453,90.10,CC(C(=O)C)F,CC(C(=O)C)F,3-fluorobutan-2-one,0.7
2777083,126.08,C(CC(F)(F)F)C=O,C(CC(F)(F)F)C=O,"4,4,4-trifluorobutanal",1.1
2778488,136.10,CC(=O)CC(=O)C(F)F,CC(=O)CC(=O)C(F)F,"1,1-difluoropentane-2,4-dione",0.7
2779024,126.03,C(=O)C(=O)C(F)(F)F,C(=O)C(=O)C(F)(F)F,"3,3,3-trifluoro-2-oxopropanal",0.7
2781366,116.04,C(=O)C(F)(F)F.O,C(=O)C(F)(F)F.O,"2,2,2-trifluoroacetaldehyde;hydrate",
3016005,151.00,C(CC=O)CBr,C(CC=O)CBr,4-bromobutanal,0.8
3016433,170.25,C(CCCCC=O)CCCC=O,C(CCCCC=O)CCCC=O,decanedial,2.0
3593277,101.08,CCC(=O)C(=O)[O-],CCC(=O)C(=O)[O-],2-oxobutanoate,0.8
3614358,73.03,C(=O)C(=O)[O-],C(=O)C(=O)[O-],oxaldehydate,0.3
3724921,114.19,CCC(C)(C)CC=O,CCC(C)(C)CC=O,"3,3-dimethylpentanal",1.9
4409936,135.14,C1=CC=C(C=C1)CC(=O)[O-],C1=CC=C(C=C1)CC(=O)[O-],2-phenylacetate,2.1
4451502,88.06,C(=O)C(C=O)O,C(=O)C(C=O)O,2-hydroxypropanedial,-1.2
4621604,118.20,C(CCS)CC=O,C(CCS)CC=O,5-sulfanylpentanal,0.7
4686860,86.09,CC(=O)CC=O,CC(=O)CC=O,3-oxobutanal,-0.4
5221654,208.06,C(=O)C(C(C(C=O)(F)F)(F)F)(F)F,C(=O)C(C(C(C=O)(F)F)(F)F)(F)F,"2,2,3,3,4,4-hexafluoropentanedial",1.2
5257795,749.2,C(=O)C([Hg]Cl)([Hg]Cl)[Hg]Cl,C(=O)C([Hg]Cl)([Hg]Cl)[Hg]Cl,"[1,1-bis(chloromercurio)-2-oxoethyl]-chloromercury",
5280483,450.7,CC1=C(C(=O)C2=CC=CC=C2C1=O)C/C=C(\C)/CCCC(C)CCCC(C)CCCC(C)C,CC1=C(C(=O)C2=CC=CC=C2C1=O)CC=C(C)CCCC(C)CCCC(C)CCCC(C)C,"2-methyl-3-[(E)-3,7,11,15-tetramethylhexadec-2-enyl]naphthalene-1,4-dione",10.9
5282367,444.6,CC1=C(C(=O)C2=CC=CC=C2C1=O)C/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C,CC1=C(C(=O)C2=CC=CC=C2C1=O)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C,"2-methyl-3-[(2E,6E,10E)-3,7,11,15-tetramethylhexadeca-2,6,10,14-tetraenyl]naphthalene-1,4-dione",8.9
5284607,450.7,CC1=C(C(=O)C2=CC=CC=C2C1=O)C/C=C(\C)/CCC[C@H](C)CCC[C@H](C)CCCC(C)C,CC1=C(C(=O)C2=CC=CC=C2C1=O)CC=C(C)CCCC(C)CCCC(C)CCCC(C)C,"2-methyl-3-[(E,7R,11R)-3,7,11,15-tetramethylhexadec-2-enyl]naphthalene-1,4-dione",10.9
5287554,649.0,CC1=C(C(=O)C2=CC=CC=C2C1=O)C/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C,CC1=C(C(=O)C2=CC=CC=C2C1=O)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C,"2-[(2E,6E,10E,14E,18E,22E)-3,7,11,15,19,23,27-heptamethyloctacosa-2,6,10,14,18,22,26-heptaenyl]-3-methylnaphthalene-1,4-dione",14.5
5323605,114.14,CCC(=O)CCC=O,CCC(=O)CCC=O,4-oxohexanal,-0.2
5354896,146.19,C/C(=C/C1=CC=CC=C1)/C=O,CC(=CC1=CC=CC=C1)C=O,(Z)-2-methyl-3-phenylprop-2-enal,2.2
5367706,204.26,CC/C=C\CCOC(=O)C1=CC=CC=C1,CCC=CCCOC(=O)C1=CC=CC=C1,[(Z)-hex-3-enyl] benzoate,4.0
5371802,146.19,CC1=CC=C(C=C1)/C=C/C=O,CC1=CC=C(C=C1)C=CC=O,(E)-3-(4-methylphenyl)prop-2-enal,2.3
5372813,146.19,C/C(=C\C1=CC=CC=C1)/C=O,CC(=CC1=CC=CC=C1)C=O,(E)-2-methyl-3-phenylprop-2-enal,2.2
5460210,129.13,C(CCC(=O)[O-])CC=O,C(CCC(=O)[O-])CC=O,6-oxohexanoate,0.5
5705112,238.28,C1=CC=C(C=C1)/C=C/COC(=O)C2=CC=CC=C2,C1=CC=C(C=C1)C=CCOC(=O)C2=CC=CC=C2,[(E)-3-phenylprop-2-enyl] benzoate,4.6
5743459,198.30,C(CCCCCC=O)CCCCC=O,C(CCCCCC=O)CCCCC=O,dodecanedial,3.1
6432319,57.07,CC(=O)[CH2],CC(=O)[CH2],,-0.1
6440856,200.23,C1C=CC(=O)O[C@H]1/C=C/C2=CC=CC=C2,C1C=CC(=O)OC1C=CC2=CC=CC=C2,"(2R)-2-[(E)-2-phenylethenyl]-2,3-dihydropyran-6-one",2.9
6455957,105.14,CC(=O)C.C=O.N,CC(=O)C.C=O.N,azane;formaldehyde;propan-2-one,
6912034,59.09,[2H]CC(=O)C,CC(=O)C,1-deuteriopropan-2-one,-0.1
6971248,86.13,CC[C@@H](C)C=O,CCC(C)C=O,(2R)-2-methylbutanal,1.1
6971249,86.13,CC[C@H](C)C=O,CCC(C)C=O,(2S)-2-methylbutanal,1.1
6994104,100.16,CCC[C@@H](C)C=O,CCCC(C)C=O,(2R)-2-methylpentanal,1.7
6994455,114.19,CC[C@@H](C)[C@@H](C)C=O,CCC(C)C(C)C=O,"(2R,3R)-2,3-dimethylpentanal",2.1
6994456,114.19,CC[C@H](C)[C@@H](C)C=O,CCC(C)C(C)C=O,"(2R,3S)-2,3-dimethylpentanal",2.1
6994457,114.19,CC[C@@H](C)[C@H](C)C=O,CCC(C)C(C)C=O,"(2S,3R)-2,3-dimethylpentanal",2.1
6999050,100.16,CCC[C@H](C)C=O,CCCC(C)C=O,(2S)-2-methylpentanal,1.7
9543142,87.05,C(C=O)C(=O)[O-],C(C=O)C(=O)[O-],3-oxopropanoate,0.1
9543238,101.08,C(CC(=O)[O-])C=O,C(CC(=O)[O-])C=O,4-oxobutanoate,-0.2
9548601,115.11,C(CC=O)CC(=O)[O-],C(CC=O)CC(=O)[O-],5-oxopentanoate,0.2
9794344,212.03,C(CCI)CC=O,C(CCI)CC=O,5-iodopentanal,2.0
9859191,214.19,CC(=O)C(=O)[O-].CC(=O)C(=O)[O-].[Ca+2],CC(=O)C(=O)[O-].CC(=O)C(=O)[O-].[Ca+2],calcium bis(2-oxopropanoate),
9859442,231.03,CC(=O)CC(=O)C.[C-]#[O+].[Rh],CC(=O)CC(=O)C.[C-]#[O+].[Rh],"carbon monoxide;pentane-2,4-dione;rhodium",
9898802,96.13,C#CCCCC=O,C#CCCCC=O,hex-5-ynal,0.6
9903281,259.04,CC(=O)CC(=O)C.[C-]#[O+].[C-]#[O+].[Rh],CC(=O)CC(=O)C.[C-]#[O+].[C-]#[O+].[Rh],"carbon monoxide;pentane-2,4-dione;rhodium",
9942119,80.03,C(=O)C(F)F,C(=O)C(F)F,"2,2-difluoroacetaldehyde",0.6
10219603,169.95,C(C=O)I,C(C=O)I,2-iodoacetaldehyde,0.4
10219827,198.41,CC(=O)C(=O)[O-].CC(=O)C(=O)[O-].[Mg+2],CC(=O)C(=O)[O-].CC(=O)C(=O)[O-].[Mg+2],magnesium bis(2-oxopropanoate),
10241132,165.03,C(CCBr)CC=O,C(CCBr)CC=O,5-bromopentanal,1.1
10307849,84.12,C1CC1CC=O,C1CC1CC=O,2-cyclopropylacetaldehyde,0.8
10464312,106.08,C(=O)C#CC#CC=O,C(=O)C#CC#CC=O,"hexa-2,4-diynedial",0.4
10725875,172.30,C[Si](C)(C)C(=O)CCCC=O,C[Si](C)(C)C(=O)CCCC=O,5-oxo-5-trimethylsilylpentanal,
10855723,156.22,C(CCCC=O)CCCC=O,C(CCCC=O)CCCC=O,nonanedial,1.4
10859654,303.49,CC(=O)C(C(=O)C)[Tl],CC(=O)C(C(=O)C)[Tl],"2,4-dioxopentan-3-ylthallium",
10891676,293.11,CC(=O)C[Hg]Cl,CC(=O)C[Hg]Cl,chloro(2-oxopropyl)mercury,
10921089,179.05,C(CCC=O)CCBr,C(CCC=O)CCBr,6-bromohexanal,1.5
10931453,128.49,C(=O)[C-](C=O)Cl.[Na+],C(=O)[C-](C=O)Cl.[Na+],sodium 2-chloropropanedial,
10942333,46.038,[13CH3][13CH]=O,CC=O,acetaldehyde,-0.3
10953466,114.14,CC(=O)CCCC=O,CC(=O)CCCC=O,5-oxohexanal,-0.3
10953880,164.99,CC(=O)C(=O)CBr,CC(=O)C(=O)CBr,"1-bromobutane-2,3-dione",0.4
10975455,114.19,CCCC[C@H](C)C=O,CCCCC(C)C=O,(2S)-2-methylhexanal,2.2
10996971,100.12,CC(CC=O)C=O,CC(CC=O)C=O,2-methylbutanedial,-0.3
11007810,59.07,C[13C](=O)C,CC(=O)C,(213C)propan-2-one,-0.1
11007917,128.17,CC(=O)CCCCC=O,CC(=O)CCCCC=O,6-oxoheptanal,0.0
11040651,110.15,CC#CCCCC=O,CC#CCCCC=O,hept-5-ynal,1.1
11040691,122.10,CC(=O)[CH-]C(=O)C.[Na+],CC(=O)[CH-]C(=O)C.[Na+],"sodium pentane-2,4-dione",
11051586,100.12,CC(C=O)C(=O)C,CC(C=O)C(=O)C,2-methyl-3-oxobutanal,0.1
11062343,114.19,CC(C)(C)CCC=O,CC(C)(C)CCC=O,"4,4-dimethylpentanal",1.7
11096977,250.1,CC(CC=O)[Ge](Cl)(Cl)Cl,CC(CC=O)[Ge](Cl)(Cl)Cl,3-trichlorogermylbutanal,
11116082,128.17,CC(C)(CC=O)CC=O,CC(C)(CC=O)CC=O,"3,3-dimethylpentanedial",0.3
11126172,60.07,C[14C](=O)C,CC(=O)C,(214C)propan-2-one,-0.1
11137279,144.17,CCOC(=O)CCCC=O,CCOC(=O)CCCC=O,ethyl 5-oxopentanoate,0.2
11148955,231.33,CCCC(C(=O)C1=CC=CC=C1)N2CCCC2,CCCC(C(=O)C1=CC=CC=C1)N2CCCC2,1-phenyl-2-pyrrolidin-1-ylpentan-1-one,3.4
11240423,76.07,CC(C=O)F,CC(C=O)F,2-fluoropropanal,0.5
11334294,254.41,C(CCCCCCCC=O)CCCCCCC=O,C(CCCCCCCC=O)CCCCCCC=O,hexadecanedial,5.2
11355455,110.15,C#CCCCCC=O,C#CCCCCC=O,hept-6-ynal,1.1
