cid,mw_pc,smiles,connectivitysmiles,iupac,logp_pc
6697,230.26,C1=CC=C2C(=C1)C3=CC=CC4=C3C(=CC=C4)C2=O,C1=CC=C2C(=C1)C3=CC=CC4=C3C(=CC=C4)C2=O,benzo[a]phenalen-7-one,4.3
6719,340.4,C1=CC=C(C=C1)C(C2=CC=CC=C2)C(=O)C3C(=O)C4=CC=CC=C4C3=O,C1=CC=C(C=C1)C(C2=CC=CC=C2)C(=O)C3C(=O)C4=CC=CC=C4C3=O,"2-(2,2-diphenylacetyl)indene-1,3-dione",3.7
6724,182.17,C1=CC2=C3C(=C1)C(=O)C(=O)C3=CC=C2,C1=CC2=C3C(=C1)C(=O)C(=O)C3=CC=C2,"acenaphthylene-1,2-dione",1.9
6732,230.26,CC(C)(C)C(=O)C1C(=O)C2=CC=CC=C2C1=O,CC(C)(C)C(=O)C1C(=O)C2=CC=CC=C2C1=O,"2-(2,2-dimethylpropanoyl)indene-1,3-dione",2.7
6733,230.26,CC(C)CC(=O)C1C(=O)C2=CC=CC=C2C1=O,CC(C)CC(=O)C1C(=O)C2=CC=CC=C2C1=O,"2-(3-methylbutanoyl)indene-1,3-dione",2.6
6755,174.15,C1=CC=C2C(=C1)C(=CC(=O)C2=O)O,C1=CC=C2C(=C1)C(=CC(=O)C2=O)O,"4-hydroxynaphthalene-1,2-dione",0.9
6763,208.21,C1=CC=C2C(=C1)C3=CC=CC=C3C(=O)C2=O,C1=CC=C2C(=C1)C3=CC=CC=C3C(=O)C2=O,"phenanthrene-9,10-dione",2.5
6772,236.26,CCC1=CC2=C(C=C1)C(=O)C3=CC=CC=C3C2=O,CCC1=CC2=C(C=C1)C(=O)C3=CC=CC=C3C2=O,"2-ethylanthracene-9,10-dione",4.4
6773,222.24,CC1=CC2=C(C=C1)C(=O)C3=CC=CC=C3C2=O,CC1=CC2=C(C=C1)C(=O)C3=CC=CC=C3C2=O,"2-methylanthracene-9,10-dione",3.9
6780,208.21,C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3C2=O,C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3C2=O,"anthracene-9,10-dione",3.4
6885,134.13,C1C2=CC=CC=C2C(=O)O1,C1C2=CC=CC=C2C(=O)O1,3H-2-benzofuran-1-one,0.8
6956,164.16,C1=CC=C(C(=C1)C(=O)N)C(=O)N,C1=CC=C(C(=C1)C(=O)N)C(=O)N,"benzene-1,2-dicarboxamide",-1.7
6985,148.20,CC1=CC(=C(C=C1)C(=O)C)C,CC1=CC(=C(C=C1)C(=O)C)C,"1-(2,4-dimethylphenyl)ethanone",2.3
6996,140.56,C1=CC=C(C(=C1)C=O)Cl,C1=CC=C(C(=C1)C=O)Cl,2-chlorobenzaldehyde,2.3
6998,122.12,C1=CC=C(C(=C1)C=O)O,C1=CC=C(C(=C1)C=O)O,2-hydroxybenzaldehyde,1.8
7018,194.23,C1C2=CC=CC=C2C(=O)C3=CC=CC=C31,C1C2=CC=CC=C2C(=O)C3=CC=CC=C31,10H-anthracen-9-one,3.7
7029,205.30,CCN(CC)C(C)C(=O)C1=CC=CC=C1,CCN(CC)C(C)C(=O)C1=CC=CC=C1,2-(diethylamino)-1-phenylpropan-1-one,2.8
7034,251.10,C1=CC(=CC=C1C(=O)C2=CC=C(C=C2)Cl)Cl,C1=CC(=CC=C1C(=O)C2=CC=C(C=C2)Cl)Cl,bis(4-chlorophenyl)methanone,4.9
7122,170.21,CC(=O)C1=CC2=CC=CC=C2C=C1,CC(=O)C1=CC2=CC=CC=C2C=C1,1-naphthalen-2-ylethanone,3.2
7146,134.17,CC(C=O)C1=CC=CC=C1,CC(C=O)C1=CC=CC=C1,2-phenylpropanal,1.9
7148,134.17,CCC(=O)C1=CC=CC=C1,CCC(=O)C1=CC=CC=C1,1-phenylpropan-1-one,2.2
7150,136.15,COC(=O)C1=CC=CC=C1,COC(=O)C1=CC=CC=C1,methyl benzoate,2.1
7165,150.17,CCOC(=O)C1=CC=CC=C1,CCOC(=O)C1=CC=CC=C1,ethyl benzoate,2.6
7166,162.18,CC(=O)CC(=O)C1=CC=CC=C1,CC(=O)CC(=O)C1=CC=CC=C1,"1-phenylbutane-1,3-dione",1.6
7170,192.21,CCOC(=O)CC(=O)C1=CC=CC=C1,CCOC(=O)CC(=O)C1=CC=CC=C1,ethyl 3-oxo-3-phenylpropanoate,1.9
7187,242.23,C1=CC=C(C=C1)C(=O)OOC(=O)C2=CC=CC=C2,C1=CC=C(C=C1)C(=O)OOC(=O)C2=CC=CC=C2,benzoyl benzenecarboperoxoate,3.5
7193,192.25,CC(C)CCOC(=O)C1=CC=CC=C1,CC(C)CCOC(=O)C1=CC=CC=C1,3-methylbutyl benzoate,3.8
