rank,cid,smi_rdkit,inchikey,iupac,mw,logp,tpsa,n_hbd,n_hba,n_rotb,n_rings,n_aldehyde,n_ketone,n_electrophile,n_carbonyl,n_fluorine,n_alpha_h,qed,priority,category
11,76355,CCC(=O)CC(C)=O,NDOGLIPWGGRQCO-UHFFFAOYSA-N,"hexane-2,4-dione",114.14399999999999,0.9446,34.14,0,2,3,0,2,4,2,2,0,0,0.511617667997256,0.586617667997256,Dialdehyde (aliphatic)
12,53648154,CC(=O)COC(C)C=O,AKUJDKOSSRMSGR-UHFFFAOYSA-N,2-(2-oxopropoxy)propanal,130.14299999999997,0.17939999999999978,43.370000000000005,0,3,4,0,2,3,2,2,0,0,0.509671666249089,0.584671666249089,Dialdehyde (aliphatic)
13,5323605,CCC(=O)CCC=O,KKOFYQBBUSZDKJ-UHFFFAOYSA-N,4-oxohexanal,114.14399999999999,0.9446,34.14,0,2,4,0,2,3,2,2,0,1,0.5096332580707023,0.5846332580707022,Dialdehyde (aliphatic)
14,13699910,CC(=O)C[C@H](C)C=O,IDAHIBMEKOEBRG-YFKPBYRVSA-N,(2S)-2-methyl-4-oxopentanal,114.14399999999998,0.8005,34.14,0,2,3,0,2,3,2,2,0,0,0.5084091858692685,0.5834091858692685,Dialdehyde (aliphatic)
15,21190979,CC(C)(C=O)CC=O,FAPGBNMXFSUCGA-UHFFFAOYSA-N,"2,2-dimethylbutanedial",114.14399999999998,0.8005,34.14,0,2,3,0,2,2,2,2,0,1,0.5084091858692685,0.5834091858692685,Dialdehyde (aliphatic)
16,13699909,CC(=O)CC(C)C=O,IDAHIBMEKOEBRG-UHFFFAOYSA-N,2-methyl-4-oxopentanal,114.14399999999998,0.8005,34.14,0,2,3,0,2,3,2,2,0,0,0.5084091858692685,0.5834091858692685,Dialdehyde (aliphatic)
17,22094685,O=CCC(F)(F)C=O,CJOVHHWWGDVBEL-UHFFFAOYSA-N,"2,2-difluorobutanedial",122.07,0.40959999999999996,34.14,0,2,3,0,2,2,2,2,2,1,0.5078092930149835,0.5828092930149834,Fluoro-dialdehyde
18,80473,CC(CC=O)CC=O,LUNMJPAJHJAGIS-UHFFFAOYSA-N,3-methylpentanedial,114.14399999999999,0.8005,34.14,0,2,4,0,2,2,2,2,0,2,0.506437220672798,0.5814372206727979,Dialdehyde (aliphatic)
19,91427,CCC(C=O)CC=O,FYQMMABWOLQJEQ-UHFFFAOYSA-N,2-ethylbutanedial,114.14399999999998,0.8005,34.14,0,2,4,0,2,2,2,2,0,1,0.5064372206727978,0.5814372206727978,Dialdehyde (aliphatic)
20,101171,CC(C=O)CCC=O,IQKPRZPVTQHVOY-UHFFFAOYSA-N,2-methylpentanedial,114.14399999999998,0.8005,34.14,0,2,4,0,2,2,2,2,0,1,0.5064372206727978,0.5814372206727978,Dialdehyde (aliphatic)
21,422853,CC(=O)CC(=O)CF,CVZIHXRHSDYALS-UHFFFAOYSA-N,"1-fluoropentane-2,4-dione",118.107,0.5041,34.14,0,2,3,0,2,4,2,2,1,0,0.5056107439495612,0.5806107439495611,Fluoro-dialdehyde
22,15575778,O=CCC(O)CC=O,UIVALZXFWDRKKE-UHFFFAOYSA-N,3-hydroxypentanedial,116.11599999999999,-0.47470000000000007,54.370000000000005,1,3,4,0,2,2,2,2,0,2,0.5047967384041225,0.5797967384041225,Dialdehyde (aliphatic)
23,88107892,O=CCC(F)CC=O,MGNIAEGARXOYBA-UHFFFAOYSA-N,3-fluoropentanedial,118.107,0.5025000000000001,34.14,0,2,4,0,2,2,2,2,1,2,0.5036030870972553,0.5786030870972553,Fluoro-dialdehyde
24,88404419,O=CC(F)C(F)C=O,YLPUHWUKZQWAND-UHFFFAOYSA-N,"2,3-difluorobutanedial",122.07000000000001,0.06040000000000001,34.14,0,2,3,0,2,2,2,2,2,0,0.495815665951424,0.570815665951424,Fluoro-dialdehyde
25,11626652,CC(=O)C(F)C(C)=O,LELFVORHOKZNGY-UHFFFAOYSA-N,"3-fluoropentane-2,4-dione",118.107,0.5025,34.14,0,2,2,0,2,4,2,2,1,0,0.49466094241589864,0.5696609424158986,Fluoro-dialdehyde
26,88704216,C=O.CC=O.CCC=O,FVUIVHPWPXJLKV-UHFFFAOYSA-N,acetaldehyde;formaldehyde;propanal,132.159,0.6155999999999999,51.21,0,3,1,0,2,2,2,3,0,1,0.49114177105858303,0.566141771058583,Dialdehyde (aliphatic)
27,164702,CC(=O)CCC=O,KEHNRUNQZGRQHU-UHFFFAOYSA-N,4-oxopentanal,100.11699999999999,0.5545,34.14,0,2,3,0,2,3,2,2,0,1,0.4852877970057935,0.5602877970057935,Dialdehyde (aliphatic)
28,10996971,CC(C=O)CC=O,BQPPGEDHWKAEDR-UHFFFAOYSA-N,2-methylbutanedial,100.11699999999999,0.4104,34.14,0,2,3,0,2,2,2,2,0,1,0.48120744370462365,0.5562074437046236,Dialdehyde (aliphatic)
