rank_nb2,rank_nb1,cid,smi_rdkit,iupac,mw,logp,n_aldehyde,n_ketone,n_electrophile,n_carbonyl,n_fluorine,qed,category,elec_proxy,ani_energy,method,conformer_ok,nb2_score
58,162,18364295,O=CC(S)C=O,2-sulfanylpropanedial,104.13,-0.3173999999999999,2,2,2,2,0,0.2958442271745216,Dialdehyde (aliphatic),13.937503487093162,,gasteiger,True,76.04395842822669
59,66,19705594,CC(C=O)(C=O)C=O,"ethane-1,1,1-tricarbaldehyde",114.09999999999998,-0.4106000000000001,3,3,3,3,0,0.369894579700311,Dialdehyde (aliphatic),13.963895131126522,,gasteiger,True,75.93232101308853
60,46,21867985,CCC(C=O)(C=O)C=O,"propane-1,1,1-tricarbaldehyde",128.12699999999998,-0.0204999999999999,3,3,3,3,0,0.3946169802165014,Dialdehyde (aliphatic),13.991429332873976,,gasteiger,True,75.81585054587956
61,39,20505731,CCCC(C=O)(C=O)C=O,"butane-1,1,1-tricarbaldehyde",142.15399999999997,0.3695999999999999,3,3,3,3,0,0.4113185958574176,Dialdehyde (aliphatic),13.99250669301314,,gasteiger,True,75.81129328143035
62,67,21265496,CC(=O)C(C=O)C=O,2-acetylpropanedial,114.09999999999998,-0.4106000000000001,3,4,3,3,0,0.369894579700311,Dialdehyde (aliphatic),14.028885677300917,,gasteiger,True,75.65740912907873
63,161,22075560,O=CC(C=O)CC(C=O)C=O,"propane-1,1,3,3-tetracarbaldehyde",156.13699999999997,-0.5955000000000001,4,4,4,4,0,0.3802591877726369,Dialdehyde (aliphatic),12.968809865010812,,gasteiger,True,75.64156037729066
64,179,20573951,O=CC(C=O)SS,2-(disulfanyl)propanedial,136.19700000000003,0.3308,2,2,2,2,0,0.2626313583822451,Dialdehyde (aliphatic),14.051816615156977,,gasteiger,True,75.56041060084348
65,68,3593277,CCC(=O)C(=O)[O-],2-oxobutanoate,101.081,-1.2846,2,1,2,2,0,0.406706301388445,Dialdehyde (aliphatic),14.249404388328973,,gasteiger,True,74.72460862382587
66,170,147646,O=CC(Cl)C=O,2-chloropropanedial,106.508,-0.0083999999999999,2,2,2,2,0,0.2819719532869355,Dialdehyde (aliphatic),14.45696359767592,,gasteiger,True,73.84662718430947
67,82,151833654,O=CCC(=O)CCF,5-fluoro-3-oxopentanal,118.10699999999996,0.5041,2,3,2,2,1,0.3976955057999792,Fluoro-dialdehyde,13.445756129037074,,gasteiger,True,73.1240639299912
68,160,133084038,O=CCC(=O)C=P,3-oxo-4-phosphanylidenebutanal,116.05599999999998,0.0894999999999999,2,2,2,2,0,0.2972348650142214,Dialdehyde (aliphatic),14.671115945145354,,gasteiger,True,72.94075658045328
69,92,27357,O=C1CC(=O)C1,"cyclobutane-1,3-dione",84.074,-0.0816,2,4,2,2,0,0.3844924934297086,Dialdehyde (cyclic),14.71264958766466,,gasteiger,True,72.76506807517234
70,49,20149005,O=CC(C=O)(C=O)C=O,methanetetracarbaldehyde,128.08299999999997,-1.2316000000000005,4,4,4,4,0,0.3508124648423263,Dialdehyde (aliphatic),14.721392598175182,,gasteiger,True,72.72808488864986
71,158,148547216,O=CCC(=O)CC(=O)CC=O,"3,5-dioxoheptanedial",156.137,-0.3073000000000001,4,6,4,4,0,0.3905407235633443,Dialdehyde (aliphatic),13.684222020879384,,gasteiger,True,72.61534633247277
72,5,88107591,O=CCC(F)(F)CC=O,"3,3-difluoropentanedial",136.09699999999998,0.7997000000000001,2,2,2,2,2,0.5354396903671274,Fluoro-dialdehyde,12.549965083281378,,gasteiger,True,71.91328587939569
73,189,20303419,O=CC(I)C=O,2-iodopropanedial,197.959,0.1878,2,2,2,2,0,0.2743750817312544,Dialdehyde (aliphatic),13.948401496397825,,gasteiger,True,71.49785953467591
74,110,54556568,O=CC1C(=O)CC1=O,"2,4-dioxocyclobutane-1-carbaldehyde",112.084,-0.6566000000000001,3,5,3,3,0,0.334075944776561,Dialdehyde (cyclic),15.075192842186121,,gasteiger,True,71.23149965634275
75,186,74945,O=CC(Br)C=O,2-bromopropanedial,150.959,0.1477,2,2,2,2,0,0.3194016135450022,Dialdehyde (aliphatic),14.03042117131137,,gasteiger,True,71.15091394514589
76,12,53648154,CC(=O)COC(C)C=O,2-(2-oxopropoxy)propanal,130.14299999999997,0.1793999999999997,2,3,2,2,0,0.509671666249089,Dialdehyde (aliphatic),15.146077791465334,,gasteiger,True,70.93165427726261
77,135,4451502,O=CC(O)C=O,2-hydroxypropanedial,88.062,-1.2549,2,2,2,2,0,0.3385230778262081,Dialdehyde (aliphatic),15.529493541473032,,gasteiger,True,69.30979460076749
78,125,21301831,COC(C=O)C=O,2-methoxypropanedial,102.089,-0.6008,2,2,2,2,0,0.3527264543561535,Dialdehyde (aliphatic),15.557045067150371,,gasteiger,True,69.19325085283565
79,156,21982668,O=CCC(=O)S,3-oxopropanethioic S-acid,104.12999999999998,0.0317999999999999,2,2,2,2,0,0.3045123699503342,Dialdehyde (aliphatic),16.01304337775383,,gasteiger,True,67.26436485244886
80,102,59148751,O=CCC(=O)CF,4-fluoro-3-oxobutanal,104.08,0.1139999999999999,2,3,2,2,1,0.3759940614485898,Fluoro-dialdehyde,14.865015975448465,,gasteiger,True,67.12055386208951
81,79,147247143,CC(F)C(=O)CC=O,4-fluoro-3-oxopentanal,118.107,0.5025000000000001,2,3,2,2,1,0.399207155441389,Fluoro-dialdehyde,15.005615949303062,,gasteiger,True,66.52581191915561
82,148,12632821,O=CC(Cl)(Cl)C=O,"2,2-dichloropropanedial",140.953,0.5581,2,2,2,2,0,0.3194723065440454,Dialdehyde (aliphatic),16.28851494395466,,gasteiger,True,66.09911218551197
83,83,123864038,CC(C=O)C(=O)CF,4-fluoro-2-methyl-3-oxobutanal,118.107,0.36,2,3,2,2,1,0.3957725858614363,Fluoro-dialdehyde,15.145199265095904,,gasteiger,True,65.9353704691334
84,55,20545621,CC(=O)CC(=O)S,3-oxobutanethioic S-acid,118.157,0.4219,2,3,2,2,0,0.4209657556391779,Dialdehyde (aliphatic),16.518745447105353,,gasteiger,True,65.1252305195872
85,21,422853,CC(=O)CC(=O)CF,"1-fluoropentane-2,4-dione",118.107,0.5041,2,4,2,2,1,0.5056107439495612,Fluoro-dialdehyde,15.370704296907745,,gasteiger,True,64.9814776832084
86,63,22501478,O=CCCC(=O)C=O,2-oxopentanedial,114.09999999999998,-0.2664999999999999,3,2,3,3,0,0.3732312969786292,Dialdehyde (aliphatic),16.6754315627701,,gasteiger,True,64.46244373302926
87,185,20144580,C#CC(=O)CC=O,3-oxopent-4-ynal,96.085,-0.2222999999999999,2,2,2,2,0,0.2059338586682534,Dialdehyde (aliphatic),16.98397881300963,,gasteiger,True,63.157279969029226
88,44,118437747,CC(=O)CCC(=O)C=O,"2,5-dioxohexanal",128.12699999999998,0.1235999999999999,3,3,3,3,0,0.3989407471526497,Dialdehyde (aliphatic),17.004115148921457,,gasteiger,True,63.072102687587105
89,152,19784777,O=CCC(=O)C=O,2-oxobutanedial,100.07299999999998,-0.6566000000000001,3,2,3,3,0,0.2686269234565905,Dialdehyde (aliphatic),17.15758174266583,,gasteiger,True,62.422934571571886
90,104,152509291,O=CCC(C=O)C(F)(F)F,2-(trifluoromethyl)butanedial,154.087,0.9528,2,2,2,2,3,0.5669371055885045,Fluoro-dialdehyde,12.63141089983732,,gasteiger,True,62.068767727262795
91,131,20303527,O=CC(F)C=O,2-fluoropropanedial,90.05300000000001,-0.2776999999999999,2,2,2,2,1,0.3449943860285568,Fluoro-dialdehyde,16.101277913723365,,gasteiger,True,61.89113022147616
92,144,20652894,CC(=O)CC(=O)C=O,"2,4-dioxopentanal",114.09999999999998,-0.2664999999999999,3,3,3,3,0,0.2881609177618762,Dialdehyde (aliphatic),17.495097830415816,,gasteiger,True,60.995231789724514
93,116,12039955,CC(=O)C(F)C=O,2-fluoro-3-oxobutanal,104.08,0.1123999999999999,2,3,2,2,1,0.3678421946698121,Fluoro-dialdehyde,16.601148308044944,,gasteiger,True,59.77666404211966
94,24,88404419,O=CC(F)C(F)C=O,"2,3-difluorobutanedial",122.07,0.0604,2,2,2,2,2,0.495815665951424,Fluoro-dialdehyde,15.714497647693737,,gasteiger,True,58.5272218977438
95,17,22094685,O=CCC(F)(F)C=O,"2,2-difluorobutanedial",122.07,0.4095999999999999,2,2,2,2,2,0.5078092930149835,Fluoro-dialdehyde,15.749244356239018,,gasteiger,True,58.38024231884182
96,25,11626652,CC(=O)C(F)C(C)=O,"3-fluoropentane-2,4-dione",118.107,0.5025,2,4,2,2,1,0.4946609424158986,Fluoro-dialdehyde,17.100977528355894,,gasteiger,True,57.66237203001518
97,183,71361688,O=CC(O)(O)C=O,"2,2-dihydroxypropanedial",104.06099999999998,-1.9349,2,2,2,2,0,0.2427432439249521,Dialdehyde (aliphatic),18.615590754097187,,gasteiger,True,56.25551441848859
98,149,880,CC(=O)C=O,2-oxopropanal,72.063,-0.2257,2,1,2,2,0,0.3166057628389017,Dialdehyde (aliphatic),18.82535062680742,,gasteiger,True,55.368224109499856
99,123,145744,CCC(=O)C=O,2-oxobutanal,86.08999999999999,0.1644,2,1,2,2,0,0.3541944918606196,Dialdehyde (aliphatic),18.97937009819117,,gasteiger,True,54.7167173051305
100,78,21107300,O=CCC(=O)C(F)F,"4,4-difluoro-3-oxobutanal",122.07,0.4095999999999999,2,3,2,2,2,0.4009800869067413,Fluoro-dialdehyde,16.619303111908867,,gasteiger,True,54.69986869836818
101,93,123249,CCCC(=O)C=O,2-oxopentanal,100.11699999999998,0.5545,2,1,2,2,0,0.3831964985572301,Dialdehyde (aliphatic),18.99315670156537,,gasteiger,True,54.65839957538675
102,72,142755,CCCCC(=O)C=O,2-oxohexanal,114.14399999999998,0.9446,2,1,2,2,0,0.4024203395303486,Dialdehyde (aliphatic),18.99367921191698,,gasteiger,True,54.65618934153534
